"","Obs","Time","Photo","Cond","Ci","Trmmol","VpdL","Area","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","PARi","PARo","Press","CsMch","HsMch","Status","filename","date","site","species","sppcode","ID"
"171","60","10893",2.59,"0.234","371","2.32","1.02","6","1","2.84","31.64","29.97","32.15","400.45","396.25","29.888","32.572","63.37","69.06","500.7","50","59","99.19","1.42","0.16","111115","20200807_SM.xlsx","2020-08-07","J22","Celastrus orbiculatus","ceorb","ceorb-J22-1"
"181","61","11062",0.814,"0.222","385","2.22","1.03","6","1","2.84","31.61","29.94","32.15","400.42","398.39","29.874","32.443","63.43","68.89","500.8","19","63","99.19","1.46","0.166","111115","20200807_SM.xlsx","2020-08-07","J22","Celastrus orbiculatus","ceorb","ceorb-J22-1"
"191","62","11068",0.801,"0.222","386","2.22","1.03","6","1","2.84","31.61","29.94","32.16","400.42","398.41","29.876","32.446","63.46","68.92","500.5","19","63","99.19","1.46","0.166","111115","20200807_SM.xlsx","2020-08-07","J22","Celastrus orbiculatus","ceorb","ceorb-J22-1"
"201","63","11264",-0.727,"0.211","399","2.2","1.07","6","1","2.84","31.91","30.08","32.55","400.55","400.37","29.807","32.36","62.25","67.58","500.8","1","63","99.19","1.46","0.164","111115","20200807_SM.xlsx","2020-08-07","J22","Celastrus orbiculatus","ceorb","ceorb-J22-1"
"211","64","11264",-0.727,"0.211","399","2.2","1.07","6","1","2.84","31.91","30.08","32.55","400.55","400.37","29.807","32.36","62.25","67.58","500.8","1","63","99.19","1.46","0.164","111115","20200807_SM.xlsx","2020-08-07","J22","Celastrus orbiculatus","ceorb","ceorb-J22-1"
"22","65","11267.8",-0.74,"0.212","399","2.2","1.07","6","1","2.84","31.9","30.06","32.55","400.46","400.29","29.803","32.356","62.26","67.6","500.5","1","61","99.18","1.46","0.164","111115","20200807_SM.xlsx","2020-08-07","J22","Celastrus orbiculatus","ceorb","ceorb-J22-1"
"241","66","12355.3",9.05,"0.28","326","2.84","1.06","6","1","2.84","30.1","30.07","30.21","401.02","388.85","29.101","32.394","67.34","74.97","500.5","1300","67","99.18","1.42","0.149","111115","20200807_SM.xlsx","2020-08-07","J22","Celastrus orbiculatus","ceorb","ceorb-J22-1"
"251","67","12362.8",9.04,"0.281","327","2.85","1.06","6","1","2.84","30.1","30.07","30.21","401.13","388.97","29.098","32.4","67.34","74.98","500.6","1300","74","99.18","1.42","0.149","111115","20200807_SM.xlsx","2020-08-07","J22","Celastrus orbiculatus","ceorb","ceorb-J22-1"
"261","68","12565.5",6.54,"0.288","246","2.84","1.04","6","1","2.84","29.87","29.97","29.82","299.38","290.53","29.15","32.448","68.35","76.08","499.1","1300","66","99.17","0.425","0.15","111115","20200807_SM.xlsx","2020-08-07","J22","Celastrus orbiculatus","ceorb","ceorb-J22-1"
"271","69","12570",6.69,"0.288","245","2.85","1.04","6","1","2.84","29.87","30","29.81","299.34","290.33","29.148","32.457","68.34","76.1","500.3","1300","69","99.16","0.425","0.15","111115","20200807_SM.xlsx","2020-08-07","J22","Celastrus orbiculatus","ceorb","ceorb-J22-1"
"281","70","12836.3",3.95,"0.307","168","2.99","1.03","6","1","2.84","29.97","30","30.01","199.43","194","29.136","32.599","67.93","76","500.5","1300","116","99.17","-0.285","0.181","111115","20200807_SM.xlsx","2020-08-07","J22","Celastrus orbiculatus","ceorb","ceorb-J22-1"
"291","71","12840",3.86,"0.305","169","2.97","1.03","6","1","2.84","29.97","30.01","30.01","199.36","194.03","29.145","32.592","67.94","75.98","500.6","1300","118","99.17","-0.285","0.181","111115","20200807_SM.xlsx","2020-08-07","J22","Celastrus orbiculatus","ceorb","ceorb-J22-1"
"301","72","13268.3",1.18,"0.315","90.1","2.99","1.01","6","1","2.84","29.79","30.05","29.62","100.02","98.25","29.476","32.942","69.45","77.62","500.6","1301","73","99.18","-1.1","0.164","111115","20200807_SM.xlsx","2020-08-07","J22","Celastrus orbiculatus","ceorb","ceorb-J22-1"
"311","73","13273.5",1.19,"0.304","89.9","2.91","1.01","6","1","2.84","29.79","30.04","29.62","100.11","98.34","29.48","32.855","69.44","77.39","500.6","1301","74","99.18","-1.1","0.164","111115","20200807_SM.xlsx","2020-08-07","J22","Celastrus orbiculatus","ceorb","ceorb-J22-1"
"321","74","13638.8",-0.234,"0.317","49.6","2.92","0.978","6","1","2.84","29.84","29.99","29.81","48.96","49.07","29.69","33.075","69.73","77.68","500.6","1299","92","99.17","-1.54","0.167","111115","20200807_SM.xlsx","2020-08-07","J22","Celastrus orbiculatus","ceorb","ceorb-J22-1"
"331","75","13640.3",-0.234,"0.317","49.6","2.92","0.978","6","1","2.84","29.84","29.98","29.81","48.97","49.05","29.687","33.067","69.73","77.68","500.3","1299","92","99.17","-1.54","0.167","111115","20200807_SM.xlsx","2020-08-07","J22","Celastrus orbiculatus","ceorb","ceorb-J22-1"
"341","76","14192.3",9.2,"0.305","330","2.77","0.96","6","1","2.84","29.76","30.01","29.62","400.23","387.92","30.102","33.314","71.03","78.61","500.6","1300","69","99.16","1.16","0.207","111115","20200807_SM.xlsx","2020-08-07","J22","Celastrus orbiculatus","ceorb","ceorb-J22-1"
"351","77","14194.5",9.25,"0.305","329","2.78","0.961","6","1","2.84","29.76","30.02","29.62","400.26","387.88","30.096","33.312","71.01","78.6","500.5","1300","69","99.16","1.16","0.207","111115","20200807_SM.xlsx","2020-08-07","J22","Celastrus orbiculatus","ceorb","ceorb-J22-1"
